fire_name,username,tweet,human_theme,cgpt_theme,cgpt_sentiment,cgpt_category,claude_theme,claude_sentiment,claude_category
chetco-bar,topsecretgunner,@RRSNF #chetcobarfire Waiting for the revised evacuation orders and map to be posted online.  Reverse 911 changed evacuation orders. nothing online,Evacuation,,,,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,pimpmytattoo,The sun in brookings Oregon  #chetcobarfire @ Brookings Harbor Oregon https://t.co/mRaDPlHz92,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,pimpmytattoo,#chetcobarfire #sun @ Brookings Harbor Oregon https://t.co/MrWLqLVuHN,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,Robb_0919,"https://t.co/Jh3tqpg7qI  ...  New info for 
#ChetcoBarFire including the new lvl 3 evac areas and evac maps 1/2",Geospatial Mapping,Evacuation and immediate disruption,Neutral/Informational,Evacuation and public safety,"Situational Maps, Photos, and Visual Briefings",Informational/Neutral,Situational Awareness and Mapping
chetco-bar,Robb_0919,#ChetcoBarFire 2/2 Evac shelter  Brookings-Harbor High School 625 Pioneer Rd Brookings for residents affected in Curry County,Evacuation,Evacuation and immediate disruption,Neutral/Informational,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,topsecretgunner,@RRSNF https://t.co/jcvwwHRAQU updated #chetcobarfire evacuation map now posted online,Evacuation,,,,Tracking Fire Scale and Containment Progress,Informational/Neutral,Media and Information Sharing
chetco-bar,topsecretgunner,@Robb_0919 Does the  High School evac center take pets?  #chetcobarfire,Fire Progression,,,,Tracking Fire Scale and Containment Progress,Informational/Neutral,Fire Behavior and Status
chetco-bar,topsecretgunner,Where is the @KOBITV coverage of the #ChetcoBarFire and the evacuations in Brookings ?,Evacuation,,,,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,twinberrypj,Evacuation orders in place for Chetco Bar fire in Curry County https://t.co/btt3ZvPIrs,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,AdreanaInLB,These images are NOT digitally altered. The #ChetcoBarFire has ash filtered the sky in #BrookingsOR https://t.co/Zw0CPtWErj,Smoke / Air Quality,Living with smoke and threat,Anger/Blame,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Engaged/Observational,Smoke and Air Quality
chetco-bar,B00nd0cking,Chetco Bar fire burning in Curry County Oregon causing smoke filled sky w/orange reddish sun &amp; beautiful  sunsets here in Crescent City CA https://t.co/zc3JKbzMXX,Smoke / Air Quality,Living with smoke and threat,Alarm/Distress,"Smoke, weather, and air quality",Environmental Observation and Fire Spectacle,Engaged/Observational,Fire Behavior and Status
chetco-bar,topsecretgunner,Sheriffs Officers going door to door in the Evacuation Category 2 area to inform residents. #ChetcoBarFire https://t.co/VBOvb1tY3W,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,RoseMantle,https://t.co/sJec4oIVR3 #ChetcoBarFire,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,SteffanySodden,"#ChetcoBarFire, and this was taken right outside my home. https://t.co/eSrrD13iqK",Fire Progression,Evacuation and immediate disruption,Neutral/Informational,Personal experience and disruption,"Personal Safety, Proximity, and Local Threat",Concerned/Anxious,Media and Information Sharing
chetco-bar,SteffanySodden,#ChetcoBarFire you can see the smoke making its way south. https://t.co/PC8U5yBS4F,Smoke / Air Quality,Living with smoke and threat,Alarm/Distress,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Engaged/Observational,Smoke and Air Quality
chetco-bar,topsecretgunner,Almost 9AM in Brookings Oregon and it dark like 9PM from the smoke overhead.  #ChetcoBarFire,Smoke / Air Quality,Living with smoke and threat,Alarm/Distress,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Engaged/Observational,Smoke and Air Quality
chetco-bar,serenalarkin,"While everyone else in Oregon freaks out about the #Eclipse, I'm busy just trying to breathe. 🔥 :( #ChetcoBarFire https://t.co/fpIbNwzdVo",Fire Progression,Seeking visibility and official action,Alarm/Distress,"Smoke, weather, and air quality",Media Amplification and Information Gaps,Engaged/Observational,Media and Information Sharing
chetco-bar,topsecretgunner,@DanielStoelb @andrewjphelps How do we bring the #ChetcoBarFire boundaries into #orraptor ?,Fire Progression,,,,Tracking Fire Scale and Containment Progress,Informational/Neutral,Fire Behavior and Status
chetco-bar,AdreanaInLB,#Eclipse2017 This is how the sun is looking through the ash filtered skies of #ChetcoBarFire in #BrookingsOR https://t.co/FzLNAO8ouf,Smoke / Air Quality,Living with smoke and threat,Neutral/Informational,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Engaged/Observational,Smoke and Air Quality
chetco-bar,SJ_Eblen,"Sharing some photos from SW Oregon this morning #ChetcoBarFire  I am 10 miles due west, on the coast  and over a ridge, from the fire. https://t.co/5QWQoEcnfH",Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Environmental Observation and Fire Spectacle,Engaged/Observational,Situational Awareness and Mapping
chetco-bar,MerrittAlexm,Good wishes and love to all fire evacuees today. Red Cross is at the high school if you need help. #ChetcoBarFire https://t.co/uN6MO07eHg,Fire Progression,Evacuation and immediate disruption,Alarm/Distress,"Requests, donations, and aid",Media Amplification and Information Gaps,Grateful/Supportive,Media and Information Sharing
chetco-bar,hopejoyandfaith,"Quick notice: Chetco Bar Fire Horse and Livestock Evacuation Support is now a page, not a group.  Please share,... https://t.co/WjD8Ixy04v",Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Grateful/Supportive,Evacuation and Area Closures
chetco-bar,JenneyFreeman,Chetco Bar Fire Evacuation Area Map https://t.co/n4QzopIcYM,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,"Situational Maps, Photos, and Visual Briefings",Informational/Neutral,Situational Awareness and Mapping
chetco-bar,Dram_Ravett,https://t.co/QU6Cp2myat bummer,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,RudySDOwens,#ForestFire near #Brookings on the #ChetcoRiver #ChetcoBarFire. I almost camped here 2 weeks ago. Massive. https://t.co/FMNiG4o1V2,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,Dnt8182,To all my family &amp; friends dealing w/ the #ChetcoBarFire &amp; the entire Brookings-Harbor community... my thoughts &amp; prayers are w/ you all!,Community Solidarity,,,,"Personal Safety, Proximity, and Local Threat",Grateful/Supportive,Personal Experience and Community Impact
chetco-bar,ChristineBeekm4,RRSNF has posted #ChetcoBarFire  emergency closure area. Everyone stay safe out there. For more information: https://t.co/tmv53AMQGW https://t.co/DjHx0yVj9Q,Evacuation,"Solidarity, prayer, and gratitude",Neutral/Informational,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,siblings_rock,Pray for Brookings Oregon &amp; all its residents The fire is spreading and so many people are being displaced from their homes. #ChetcoBarFire https://t.co/oGz7AILfdb,Fire Progression,,,,Tracking Fire Scale and Containment Progress,Informational/Neutral,Fire Behavior and Status
chetco-bar,jd4ty,#ChetcoBarFire #RainbowRock 12:15lm https://t.co/Em7SPqAuLM,Fire Progression,Seeking visibility and official action,Hope/Reassurance,"Smoke, weather, and air quality","Personal Safety, Proximity, and Local Threat",Informational/Neutral,Weather and Environmental Conditions
chetco-bar,jd4ty,#ChetcoBarFire just north of #Brookings 12:15pm https://t.co/1UcBoi8Z3v,Fire Progression,Seeking visibility and official action,Anger/Blame,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,RoseMantle,#Melancholia....what with the #ChetcoBarFire and impending total solar eclipse https://t.co/IoFFvvQfj9,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,AdreanaInLB,https://t.co/QBQNta8WLJ 08/20/2017 7:44am in ash laden skies over #BrookingsOR due to the #ChetcoBarFire,Smoke / Air Quality,Living with smoke and threat,Neutral/Informational,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Informational/Neutral,Smoke and Air Quality
chetco-bar,rreed000,Chetco Bar fire https://t.co/oVj0dDZH97,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,siblings_rock,It just keeps getting worse and worse. Its so dark outside. #ChetcoBarFire https://t.co/UqBBD3PhOk,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,0809jefore10bem,@AutumnKTVL Looking out our South window we see the smoke from the Chetco Bar Fire. It is pretty close here in Gold Beach.,Smoke / Air Quality,,,,Smoke Exposure and Air Quality Monitoring,Informational/Neutral,Smoke and Air Quality
chetco-bar,RamblinnRosee,"The chetco bar fire is getting worse, more people in Brookings are evacuating, send as much positive intent as possible &lt;3 #ChetcoBarFire https://t.co/AS8MJ9d4Nc",Fire Progression,Evacuation and immediate disruption,Neutral/Informational,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,AdreanaInLB,Photos by my boyfriend of #BrookingsOr skies during #ChetcoBarFire https://t.co/iEcKnBNFOa  . His neighborhood is at stg 1 evacuation alert,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Engaged/Observational,Situational Awareness and Mapping
chetco-bar,Team_Jab,#chetcobarfire #bringontherain,Fire Progression,Seeking visibility and official action,Hope/Reassurance,"Smoke, weather, and air quality","Personal Safety, Proximity, and Local Threat",Engaged/Observational,Weather and Environmental Conditions
chetco-bar,jandianmfr,Chetco Bar Fire Evacuation Area Map https://t.co/JA51uIe3n2,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Media and Information Sharing
chetco-bar,MerrittAlexm,Contact Tessa at BHHS for small animal shelter during evacuation 707 951 7327 #ChetcoBarFire,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,Thom_Thumb_,"Yesterday, the Chetco bar fire turned the coast purple! #nofilter #seriously #preeclipse… https://t.co/JeuZFToIcX",Smoke / Air Quality,Seeking visibility and official action,Anger/Blame,Fire status and operations,Environmental Observation and Fire Spectacle,Informational/Neutral,Media and Information Sharing
chetco-bar,publiclandlvr,Thinking of my friends impacted by #ChetcoBarFire and sending love and gratitude to first responders helping with evacuations. https://t.co/ZJoxRSCcYw,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Grateful/Supportive,Evacuation and Area Closures
chetco-bar,biff_schulz,"The smoke from the 57,000 acre chetco bar fire,more evacuations are taking place,and more firefighters and equipment coming too.god bless em https://t.co/cNlExc4jZ1",Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Grateful/Supportive,Evacuation and Area Closures
chetco-bar,DeborahAWeber,I AM ALRIGHT. FIRES SOUTH &amp; EAST OF US IN GOLD BEACH Chetco Bar Fire causes level 3 evacuation notices https://t.co/cCAkedR1Zx,Evacuation,,,,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,topsecretgunner,#ChetcoBarFire has a new evacuation map https://t.co/ZPbPikDnpX,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Media and Information Sharing
chetco-bar,BeamMeUpScotee,More Evacuation Orders In Chetco Bar Fire https://t.co/Qo5Vo9vR7K,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,CseeThru,"Chetco Bar Fire
Brush up to 5 feet tall, standing snags, and unburned islands of mixed deciduous and conifer forest https://t.co/4KIYo9PjpF",Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,jimlayhe,#ChetcoBarFire Aug 20 port of Brookings https://t.co/iqOolvbJw5,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,raindogtweets,"Brookings is close to surrounded... thankful for fire crews &amp; first responders, praying for rain. #ChetcoBarFire https://t.co/Qe83jPl9o6",Operational Coordination,"Solidarity, prayer, and gratitude",Gratitude/Appreciation,Community solidarity and appreciation,Firefighting Operations and Crew Deployment,Concerned/Anxious,Operational Response and Resources
chetco-bar,siblings_rock,I had to evacuate my house tonight Praying that everyone stays safe &amp; that God will be with the firefighters and responders. #ChetcoBarFire,Evacuation,"Solidarity, prayer, and gratitude",Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Concerned/Anxious,Evacuation and Area Closures
chetco-bar,RoseMantle,Latest #ChetcoBarFire Evacuation Zone #BrookingsHarbor Oregon https://t.co/VLoUJ6PGmS,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,Sammerjammerss,My parents are spending their 28th anniversary packing up their home. #ilovethem #chetcobarfire 💕 https://t.co/UsnudMpbOg,Fire Progression,Evacuation and immediate disruption,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Grateful/Supportive,Media and Information Sharing
chetco-bar,topsecretgunner,"@KTVL Your evacuation area map is seriously out of date, the evacuation area for #ChetcoBarFire  is significantly larger. https://t.co/XhoEePLkuM",Evacuation,,,,Evacuation Orders and Displacement Experiences,Informational/Neutral,Media and Information Sharing
chetco-bar,ChristinaMGeyer,With Oregon a top spot to watch the #SolarEclipse2017  it shocks me that @cnnbrk and other news sites aren't covering massive #chetcobarfire,Public Accountability,Seeking visibility and official action,Neutral/Informational,Media and political accountability,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,Team_Jab,Chetco Bar wildfire prompts Brookings evacuations https://t.co/r2Awl5a2f0,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,P00dy,@inciweb #ChetcoBarFire https://t.co/7fjvkA6skk,Geospatial Mapping,,,,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,RicardoAlegria,The latest Un Día a la Vez! https://t.co/PGnziYh3Qb Thanks to @leoiturra @DeIquiqueCL #chetcobarfire #bcfires,Community Solidarity,,,,"Community Solidarity, Prayer, and Emotional Bonds",Grateful/Supportive,Media and Information Sharing
chetco-bar,publiclandlvr,https://t.co/j84QbBnqkh,Fire Progression,,,,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
chetco-bar,lupusincolor_kw,🙏🏻 for family and friends affected by the #ChetcoBarFire in #Brookings #Oregon. Extra 🙏🏻s for all those on the fighting lines. 💕,Community Solidarity,Seeking visibility and official action,Neutral/Informational,Personal experience and disruption,"Personal Safety, Proximity, and Local Threat",Grateful/Supportive,Personal Experience and Community Impact
chetco-bar,topsecretgunner,#ChetcoBarFire  Best tool I've found for visualizing fire boundaries (free) #BrookingsFire : https://t.co/pU9KSMWedP,Fire Progression,Seeking visibility and official action,Gratitude/Appreciation,Fire status and operations,"Situational Maps, Photos, and Visual Briefings",Informational/Neutral,Situational Awareness and Mapping
chetco-bar,m_parrington,Smoke plumes along W coast of N America in latest aerosol forecasts @CopernicusECMWF https://t.co/NsXj7qeH6j #bcwildfires #ChetcoBarFire https://t.co/UxVKFQOZN9,Smoke / Air Quality,Living with smoke and threat,Alarm/Distress,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Informational/Neutral,Smoke and Air Quality
chetco-bar,FrostyPixie,@KGWSunrise why is nobody covering the Chetco bar fire that is about to swallow up a whole town in southern Oregon?,Fire Progression,,,,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Personal Experience and Community Impact
chetco-bar,FrostyPixie,@KGWNews why is nobody covering the Chetco bar fire? A whole town is about to be swallowed up and burnt down in southern OR.,Public Accountability,,,,Media Amplification and Information Gaps,Distressed/Urgent,Media and Information Sharing
chetco-bar,FrostyPixie,"@KGWSunrise the eclipse is nice and all, but thousands of people are in real danger.  Their livelihoods are in real danger. #ChetcoBarFire",Fire Progression,,,,Tracking Fire Scale and Containment Progress,Frustrated/Critical,Fire Behavior and Status
chetco-bar,SJ_Eblen,This fire out here is threatening homes and ranches.  A 7 mi. swath from the river to the ocean now level 3 GO evac. #ChetcoBarFire,Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Informational/Neutral,Evacuation and Area Closures
chetco-bar,SJ_Eblen,"We are getting resources.  Nat. Guard, in &amp; out of state Hot Shots, Red Cross ... Scary stuff, but folk are holding up well. #ChetcoBarFire",Operational Coordination,,,,Firefighting Operations and Crew Deployment,Informational/Neutral,Operational Response and Resources
chetco-bar,SJ_Eblen,I don't think we will see the eclipse today.  #ChetcoBarFire #Eclipse #BrookingsOR,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Personal Experience and Community Impact
chetco-bar,SJ_Eblen,"@realDonaldTrump You might not have noticed, but this rural county in Oregon that voted for you is burning up.  #ChetcoBarFire",Public Accountability,,,,Tracking Fire Scale and Containment Progress,Frustrated/Critical,Fire Behavior and Status
chetco-bar,topsecretgunner,"It appears that the #ChetcoBarFire primarily moved West overnight, remaining North of the town of Brookings https://t.co/gbYSfHerMA",Fire Progression,Evacuation and immediate disruption,Anger/Blame,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,topsecretgunner,"#ChetcoBarFire Morning update, now 91,551 Acres",Fire Progression,Sharing updates and resources,Neutral/Informational,Fire status and operations,Tracking Fire Scale and Containment Progress,Informational/Neutral,Fire Behavior and Status
chetco-bar,lupusincolor_kw,Sending many prayers for the safety of the evacuees and those fighting. 🙏🏻 #ChetcoBarFire #Brookings #brookingsoregon https://t.co/vX0u0zKB6v,Community Solidarity,"Solidarity, prayer, and gratitude",Alarm/Distress,Community solidarity and appreciation,"Community Solidarity, Prayer, and Emotional Bonds",Grateful/Supportive,Media and Information Sharing
chetco-bar,topsecretgunner,new heat map released as of 4am for the #ChetcoBarFire https://t.co/Juokhs1wPy,Geospatial Mapping,Sharing updates and resources,Neutral/Informational,Fire status and operations,"Situational Maps, Photos, and Visual Briefings",Informational/Neutral,Media and Information Sharing
chetco-bar,lupusincolor_kw,@realDonaldTrump #ChetcoBarFire #brookingsoregon https://t.co/fG0tFIT4Co,Public Accountability,,,,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,lupusincolor_kw,#ChetcoBarFire #brookingsoregon https://t.co/bpucxJLPSn,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,topsecretgunner,#ChetcoBarFire Sunday I met 2 amazing Curry County employees who were checking hydrants to ensure they were functional in the evac zone.,Fire Progression,Evacuation and immediate disruption,Neutral/Informational,Evacuation and public safety,Tracking Fire Scale and Containment Progress,Informational/Neutral,Fire Behavior and Status
chetco-bar,AdreanaInLB,#BrookingsOR has 400 imported fire fighters along with National Guard. #ChetCoBarFire https://t.co/ljHtVTYTjA,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Media and Information Sharing
chetco-bar,e_j_schwarz,"@JonahNRO Actually, it's the giant ball of fire heading toward my house I'm worried about. #ChetcoBarFire",Fire Progression,,,,"Personal Safety, Proximity, and Local Threat",Concerned/Anxious,Personal Experience and Community Impact
chetco-bar,mikeyrepsgym,"No #SolarEclispe2017 here, Just smoke and ash. Might as well train! 💪🏻 🔥 🌲 🌊 😢 #LegDay #BodyBuilding #ChetcoBarFire",Smoke / Air Quality,Living with smoke and threat,Alarm/Distress,"Smoke, weather, and air quality",Smoke Exposure and Air Quality Monitoring,Engaged/Observational,Smoke and Air Quality
chetco-bar,FrostyPixie,@Oregonian Brookings is completely surrounded by fire. The whole town might burn to the ground.  Do you care? #ChetcoBarFire,Fire Progression,,,,"Personal Safety, Proximity, and Local Threat",Distressed/Urgent,Personal Experience and Community Impact
chetco-bar,KthrnLeathers,"Attention, Tribal Citizens! If you have lost your home (own or rent) to the Chetco Bar fire, please contact CFS at (707) 487-9255.",Fire Progression,Seeking visibility and official action,Alarm/Distress,"Requests, donations, and aid",Tracking Fire Scale and Containment Progress,Concerned/Anxious,Fire Behavior and Status
chetco-bar,1kanakaAmakee,"Chetco Bar fire in Oregon threatening town of Brookings; 90,000 ac burned and still going.  Need your prayers NOW.  God bless.🙏🌧️",Community Solidarity,"Solidarity, prayer, and gratitude",Alarm/Distress,Community solidarity and appreciation,"Community Solidarity, Prayer, and Emotional Bonds",Grateful/Supportive,Personal Experience and Community Impact
chetco-bar,RoseMantle,"#ChetcoBarFire 
Fire team labors to protect homes, clear roads; https://t.co/Aluwq0896J",Fire Progression,Evacuation and immediate disruption,Neutral/Informational,Fire status and operations,"Personal Safety, Proximity, and Local Threat",Informational/Neutral,Public Safety and Health Guidance
chetco-bar,hopejoyandfaith,"Everyone who is currently taking care of livestock and horses who were evacuated from the Chetco Bar Fire, or if... https://t.co/IltOwA4wc7",Evacuation,Evacuation and immediate disruption,Alarm/Distress,Evacuation and public safety,Evacuation Orders and Displacement Experiences,Distressed/Urgent,Evacuation and Area Closures
chetco-bar,topsecretgunner,"@RedCrossCasc please live stream this, since not all evacuees are in your shelter.  Some are in other cities and still want fire info. #ChetcoBarFire",Evacuation,,,,Evacuation Orders and Displacement Experiences,Concerned/Anxious,Evacuation and Area Closures
chetco-bar,DlorenDarnell,Big fire in southern Oregon threatening a good sized town. https://t.co/sljiDIIhPq,Fire Progression,Living with smoke and threat,Alarm/Distress,Fire status and operations,Tracking Fire Scale and Containment Progress,Informational/Neutral,Media and Information Sharing
chetco-bar,hopejoyandfaith,"If you want to make donations to the Chetco Bar Fire Horse &amp; Livestock Support, here is the link. The Humboldt... https://t.co/78ol6CQVCo",Community Solidarity,,,,"Community Solidarity, Prayer, and Emotional Bonds",Informational/Neutral,Media and Information Sharing
chetco-bar,topsecretgunner,@currypilot #ChetcoBarFire your texting noise is louder than the meeting speakers on the live stream.,Fire Progression,,,,Tracking Fire Scale and Containment Progress,Informational/Neutral,Fire Behavior and Status
chetco-bar,jandianmfr,Chet o Fire https://t.co/N7O1LFBs9X,Fire Progression,Seeking visibility and official action,Neutral/Informational,Fire status and operations,Media Amplification and Information Gaps,Informational/Neutral,Media and Information Sharing
